date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:37	5895/5895	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2014:15:38%20GMT	https://360webservices-contactus.pages.dev/checkout	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout.html	(from )
21:15:38	4888/4888	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2014:15:39%20GMT	https://360webservices-contactus.pages.dev/robots.txt		(from )
21:15:41	27826/27826	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2014:15:41%20GMT	https://360webservices-contactus.pages.dev/	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/index.html	(from )
21:15:41	1540/1540	---M--	200	added ('OK')	image/png	etag:%226f0e3d3cc99b5947fe0d2f88b42e98d8%22	https://360webservices-contactus.pages.dev/files/img/icon.png	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/icon.png	(from https://360webservices-contactus.pages.dev/)
21:15:41	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://360webservices-contactus.pages.dev/)
21:15:43	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%226497b6f7-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://360webservices-contactus.pages.dev/)
21:15:43	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://360webservices-contactus.pages.dev/)
21:15:44	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%2264994a08-1d1e%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://360webservices-contactus.pages.dev/)
21:15:44	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://360webservices-contactus.pages.dev/)
21:15:45	14335/14335	---MCZ	200	added ('OK')	text/css	etag:W/%220714bd8aad3fa5c1d41bd0856777bc0b%22	https://360webservices-contactus.pages.dev/files/style.css	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/style.css	(from https://360webservices-contactus.pages.dev/)
21:15:45	16099/16099	---M--	200	added ('OK')	image/png	etag:%224751b92adbe3f9d66576c9baba49b489%22	https://360webservices-contactus.pages.dev/files/img/logo1.png	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/logo1.png	(from https://360webservices-contactus.pages.dev/)
21:15:45	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:46%20GMT	https://360webservices-contactus.pages.dev/index.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/index-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:46%20GMT	https://360webservices-contactus.pages.dev/index.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/index-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:47%20GMT	https://360webservices-contactus.pages.dev/shop.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/shop.html	(from https://360webservices-contactus.pages.dev/)
21:15:47	23948/23948	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2014:15:48%20GMT	https://360webservices-contactus.pages.dev/shop	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/shop.html	(from https://360webservices-contactus.pages.dev/)
